"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"55906",0.125073773756053,2.25157866441339,4.36552773715811,2.23061509169206e-05,0.00607666511294637,2.05760707186823
"101928478",0.30064860310263,1.6654278614092,4.34851888224908,2.39148149208073e-05,0.00644703552240097,1.99144750410033
"441061",0.242214278617123,1.67853218814328,4.33045988215689,2.57445217292707e-05,0.00686874456034563,1.92142723164402
"913",0.262677546771436,1.13612661761607,4.2932675866366,2.99451357537726e-05,0.00790796033987383,1.77795107984169
"389906",0.142939894337955,1.69337173126756,4.27835437907328,3.18077938039439e-05,0.00831500710753604,1.72069758494604
"105378853",0.151772683503688,2.05459433687289,4.24460970701747,3.64412438189143e-05,0.00943099390033502,1.59173576545897
"79742",0.112147232432968,3.10215658355957,4.23864523224565,3.73247912355731e-05,0.00956401581363001,1.56902639149436
"101928436",0.178967895283889,0.2846338878564,4.21922028004952,4.03467812693002e-05,0.0102370068553871,1.49524465379886
"55799",-0.140161111823438,2.7766078086617,-4.18939622044687,4.54469259958061e-05,0.0114190916968103,1.38249437194018
"7317",0.0979144396784803,3.65267803370719,4.18336269780349,4.65511830741767e-05,0.0115840828649971,1.35976289003119
"54763",0.238792898264552,1.09427743357005,4.18073663736314,4.70397827602157e-05,0.0115941864555656,1.34987737661049
"55787",0.153778114064754,2.61110891619583,4.17802151688424,4.75501101000285e-05,0.0116094042395164,1.33966187064603
"101926892",-0.326325430961198,0.612339191932692,-4.15928033431956,5.12198810877999e-05,0.0123885095565632,1.2692952431434
"105377543",0.25933039470104,1.58311259339005,4.12581421893158,5.84565901973032e-05,0.0140079310583908,1.14427832706645
"121952",0.206803932773704,2.37925418322715,4.10649967722934,6.3067559049153e-05,0.0149742057632301,1.07249923776745
"201161",0.151065101216592,1.9558294812021,4.09936006826089,6.48583702378937e-05,0.0152594056523335,1.04603541905705
"8243",0.129060685926369,3.21570802864015,4.07514158817309,7.13017892524055e-05,0.0165891086273183,0.956545975143333
"23676",0.129245837986268,4.2465939814176,4.07313589622451,7.18619729733387e-05,0.0165891086273183,0.949154137337525
"8842",0.167966432696496,2.64554752146485,4.07110623927914,7.24331249956324e-05,0.0165891086273183,0.941676999065548
"5827",0.154529322453303,2.85590234672076,4.03712772156708,8.26627653108185e-05,0.0187658979495086,0.816954215839965
"6366",0.27666900143259,2.53898255137314,4.02843327203776,8.54937753901579e-05,0.0192398165834547,0.785177447392987
"107985908",0.188668771569797,0.234276394163095,3.98339134302761,0.000101702327475036,0.0226152016702958,0.621456798189114
"150221",0.123164732652484,0.740505284489747,3.98201681026763,0.000102240285758292,0.0226152016702958,0.616484367775694
