"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"112268144",0.0639381256919359,1.67771792116685,1.6603667260584,0.0987392718587038,0.39363820532648,-5.56173518627504,1.00551007975891,1.00551007975891,"Not Significant","grey80"
"26238",0.0800026318633564,0.954900002728961,1.66033485906177,0.0987456890774181,0.39363820532648,-5.5617870376869,1.00548185520283,1.00548185520283,"Not Significant","grey80"
"101927377",0.0821729902267743,1.85588421739129,1.66031783148248,0.0987491181451389,0.39363820532648,-5.56181474319892,1.0054667740449,1.0054667740449,"Not Significant","grey80"
"3340",0.0499462606009975,3.24943434309298,1.66031304837171,0.0987500814003583,0.39363820532648,-5.56182252573157,1.00546253770948,1.00546253770948,"Not Significant","grey80"
"100",0.0583556310732423,2.40496153154546,1.66023142090605,0.0987665212587504,0.39363820532648,-5.56195533729762,1.00539024262438,1.00539024262438,"Not Significant","grey80"
"253190",0.0505948944272066,2.22677511531133,1.66015505958651,0.0987819025057084,0.39363820532648,-5.56207957489126,1.00532261373051,1.00532261373051,"Not Significant","grey80"
"79142",0.0452441618857327,2.73753376134969,1.66010635035947,0.0987917148770285,0.39363820532648,-5.56215882046751,1.00527947579764,1.00527947579764,"Not Significant","grey80"
"1576",0.0801189336277018,0.73348263997994,1.66004033516274,0.0988050147527363,0.39363820532648,-5.56226621772791,1.00522101265759,1.00522101265759,"Not Significant","grey80"
"9034",0.0607739694465454,1.86853733888187,1.65989815340483,0.0988336645665414,0.393691740646774,-5.56249751303943,1.00509510151334,1.00509510151334,"Not Significant","grey80"
"9332",0.0945838880399072,3.13790766640311,1.6597623848025,0.0988610283666174,0.39370697226849,-5.56271835782091,1.00497487625816,1.00497487625816,"Not Significant","grey80"
"5954",0.0560149606332489,3.24360170296723,1.65972822601398,0.098867913940221,0.39370697226849,-5.56277391865533,1.00494462912704,1.00494462912704,"Not Significant","grey80"
"441024",0.0590491277328936,2.68708556939565,1.65957008465522,0.0988997963920568,0.393773343173297,-5.56303112841298,1.00480460249683,1.00480460249683,"Not Significant","grey80"
